Paula Ferreira;mariana.ferreira@empresa.com.br
Fernanda Pereira;luiz.lima@empresa.com.br
João Silva;lucas.costa@empresa.com.br
Luiz Junior;fernanda.oliveira@techmail.com
Fernanda Gomes;ana.lima@example.com
Pedro Oliveira;paula.souza@empresa.com.br
Fernanda Ferreira;joão.costa@email.com
Pedro Santos;carlos.ferreira@example.com
Maria Lima;carlos.junior@corporate.com.br
Paula Costa;paula.gomes@techmail.com
Mariana Lima;ana.silva@empresa.com.br
João Gomes;lucas.lima@email.com
Fernanda Pereira;joão.junior@example.com
Maria Costa;paula.pereira@email.com
Paula Silva;luiz.ferreira@empresa.com.br
Luiz Oliveira;fernanda.oliveira@corporate.com.br
Mariana Junior;joão.silva@corporate.com.br
Maria Silva;lucas.junior@corporate.com.br
Fernanda Souza;lucas.santos@example.com
Carlos Junior;joão.ferreira@example.com
Carlos Oliveira;maria.ferreira@example.com
Mariana Junior;maria.oliveira@example.com
Ana Ferreira;carlos.pereira@email.com
Pedro Ferreira;ana.pereira@empresa.com.br
Fernanda Santos;joão.souza@corporate.com.br
João Oliveira;paula.costa@email.com
Fernanda Costa;luiz.lima@corporate.com.br
Luiz Ferreira;mariana.pereira@corporate.com.br
Luiz Souza;luiz.oliveira@empresa.com.br
Ana Costa;carlos.oliveira@empresa.com.br
Luiz Junior;joão.oliveira@example.com
Mariana Gomes;ana.pereira@email.com
João Junior;mariana.junior@empresa.com.br
Pedro Oliveira;mariana.gomes@email.com
Paula Ferreira;fernanda.souza@techmail.com
Paula Pereira;joão.pereira@email.com
Maria Junior;lucas.silva@empresa.com.br
